WARNING 2020-02-27 11:00:51,162 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,165 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:51,167 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,204 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:51,206 base 152 Not Found: /epgn_front_end/layui/css/admin.css
WARNING 2020-02-27 11:00:51,210 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:51,211 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,212 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,212 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,219 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:51,219 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,229 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:51,230 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
INFO 2020-02-27 11:00:52,978 basehttp 124 "GET / HTTP/1.1" 200 3820
INFO 2020-02-27 11:00:54,618 basehttp 124 "GET /home/ HTTP/1.1" 200 23448
INFO 2020-02-27 11:00:54,805 basehttp 124 "GET /car_platform/ HTTP/1.1" 200 2
WARNING 2020-02-27 11:00:55,051 base 152 Not Found: /epgn_front_end/home/lib/admin.js
WARNING 2020-02-27 11:00:55,052 basehttp 124 "GET /epgn_front_end/home/lib/admin.js HTTP/1.1" 404 1926
INFO 2020-02-27 11:00:56,116 basehttp 124 "GET /upload/ HTTP/1.1" 200 48874
INFO 2020-02-27 11:00:56,280 basehttp 124 "GET /car_platform/ HTTP/1.1" 200 2
